#____________________________________________________________
#
#                   RCTelescopeTiming                 
#      Roque Cherenkov Telescope Timing Analysis Package    
#               Selecting Events for Plots 		   
#            Author: Max Ahnen, IPP ETH Zurich            
#____________________________________________________________
#Gamma-Ray like 3-Telescope-Events
#
#NIGHT,RUNID,EventNum,E/GeV
20131128,200,17914,924.047
20131128,200,20816,1056.02
20131128,201,711,3761.89
20131128,201,1429,1578.06
20131128,201,11115,872.126
20131128,201,15961,1090.08
20131128,201,20535,1203.65
20131128,204,1237,818.924
20131128,204,1794,1808.31
20131128,204,2078,1871.63
20131128,204,3779,1160.84
20131128,204,3873,863.417
20131128,204,9205,892.759
20131128,204,10275,1192.59
20131128,204,13693,506.226
20131128,205,1894,5189.23
20131128,205,2124,1190.36
20131128,205,5667,664.445
20131128,205,9025,1211.89
20131128,205,15585,1338.52
20131128,207,1250,684.708
20131128,207,5117,797.312
20131128,207,7384,4511.13
20131128,207,7688,4416.57
20131128,207,8719,1261.54
20131128,207,12071,836.346
20131128,208,303,981.011
20131128,208,1762,1123.22
20131128,208,3173,2027.7
20131128,208,5325,2116.04
20131128,208,7018,3940.59
20131128,208,12281,6292.42
20131128,218,44,811.209
20131128,218,2783,889.916
20131128,218,4881,3818.91
20131128,218,14065,1485.03
20131128,219,14917,733.485
20131128,220,638,1407.68
20131128,220,6495,921.927
20131128,220,17485,821.019
20131128,221,4920,1018.52
20131128,224,1146,2876.35
20131128,224,2226,2274.68
20131128,224,8235,824.677
20131128,224,8998,1189.87
20131128,224,13192,1323.32
20131128,224,14213,1195.75
20131128,224,14242,1000.86
20131128,224,17230,1075.32
20131128,224,18082,1634.15
20131128,225,2455,2187.8
20131128,225,4545,651.424
20131128,225,7020,1224.06
20131128,225,8371,3547.28
20131128,225,9606,1728.42
20131128,225,11184,1110.94
20131128,226,2399,1036.06
20131128,226,5755,2799.21
20131128,226,8892,1627.68
20131128,227,495,766.077
20131128,227,824,676.214
20131128,227,2304,1296.14
20131128,227,16042,1222.43
20131128,227,16465,1587.47
20131128,230,4850,2850
20131128,230,7288,3572.12
20131128,230,14338,2684.82
20131128,230,15544,2132.51
20131128,231,3231,3143.62
20131128,231,6367,2243.02
20131128,231,12381,1647.67
20131128,232,1256,2861.12
20131128,232,2075,1922.52
20131128,232,2461,2936.68
20131128,232,14709,851.357
20131128,233,109,2952.8
20131128,233,1227,1328.1
20131128,233,6527,1115.46
20131128,233,9216,1539.4
20131128,234,1909,2202.35
20131128,234,10946,1924.84
20131204,136,8594,952.622
20131204,136,17096,1144.53
20131204,136,19056,1080.36
20131204,137,972,815.585
20131204,137,4236,1204.11
20131204,137,5343,2543.28
20131204,137,6906,895.361
20131204,137,6968,1723.78
20131204,137,7361,976.071
20131204,137,9447,7209.82
20131204,137,9679,1014.53
20131204,138,1178,1685.31
20131204,138,1574,1075.41
20131204,138,1819,1039.71
20131204,138,3558,1182.82
20131204,138,9472,1169.98
20131204,138,12577,816.034
20131204,138,15707,3378.25
20131204,138,17999,1616.65
20131204,141,873,3674.86
20131204,141,3673,1038.21
20131204,141,3746,3537.71
20131204,141,4161,1063.31
20131204,141,16477,1359.04
20131204,142,10141,9586.74
20131204,143,1976,989.782
20131204,143,2308,1044.71
20131204,144,15999,615.177
20131204,154,499,525.337
20131204,154,4535,1716.71
20131204,154,7344,1207.43
20131204,155,307,1015.86
20131204,155,7354,1035.28
20131204,155,8004,3340.13
20131204,155,9708,678.228
20131204,155,14950,1858.74
20131204,155,17852,4086.95
20131204,155,18084,2737.35
20131204,156,1222,748.48
20131204,156,8545,1944.49
20131204,156,10689,1411.06
20131204,156,11866,3104.31
20131204,156,18607,706.583
20131204,156,19864,1704.01
20131204,157,13570,727.863
20131204,157,16243,853.113
20131204,157,17694,1363.58
20131204,160,11359,636.304
20131204,160,11506,944.711
20131204,160,19388,1987.41
20131204,161,12438,1222.58
20131204,162,989,3563.19
20131204,162,1166,1611.18
20131204,163,545,1340.52
20131204,163,7991,948.397
20131204,163,12356,587.638
20131204,163,15229,877.737
20131204,166,5412,2754.76
20131204,166,5675,1130.83
20131204,166,10759,1012.46
20131204,166,11636,5681.36
20131204,167,1330,1413.01
20131204,167,2910,806.665
20131204,167,13885,1258.72
20131204,167,17743,1813.82
20131204,169,3938,879.163
20131204,169,5077,941.517
20131204,169,11361,1505.99
20131204,179,9477,697.572
20131204,179,13920,986.817
20131204,179,14929,957.169
20131204,180,6010,971.933
20131204,180,14295,991.834
20131204,181,3443,938.437
20131204,181,9180,1174.17
20131204,181,9246,972.351
20131204,181,13965,1468.51
20131204,181,18001,1322.34
20131204,182,2201,1433.34
20131204,182,3621,1151.3
20131204,182,11218,1801.35
20131204,182,16687,1401.73
20131204,182,19553,918.233
20131204,185,368,712.407
20131204,185,1240,1420.5
20131204,185,13000,1407.54
20140101,134,872,990.942
20140101,134,11227,861.078
20140101,135,1565,1305.44
20140101,135,4032,5231.88
20140101,135,6824,535.071
20140101,135,6853,1198.49
20140101,138,3337,2130.34
20140101,138,6688,2370.13
20140101,138,9953,2654.58
20140101,138,12762,957.785
20140101,138,15458,667.832
20140101,138,15821,6084.11
20140101,138,17195,1591.79
20140101,139,495,1329.66
20140101,139,3171,1490.36
20140101,139,4672,2937.68
20140101,139,6195,8736.63
20140101,139,7119,855.166
20140101,139,8915,1419.12
20140101,139,11068,763.888
20140101,139,11532,1046.91
20140101,139,14820,684.016
20140101,139,17243,1894.72
20140101,139,17812,3670.55
20140101,140,2623,836.516
20140101,140,5023,1499.99
20140101,140,6437,1410.29
20140101,141,9083,1033.31
20140101,141,9367,1567.95
20140101,141,17505,1204.15
20140101,151,9003,2282.37
20140101,151,10111,2039.57
20140101,151,12207,1057.77
20140101,151,16228,1102.05
20140101,154,7844,6105.42
20140101,154,8644,3115.68
20140101,154,9413,1309.99
20140101,157,445,2565.25
20140101,157,1634,485.898
20140101,157,3732,1391.78
20140101,157,4543,2696.67
20140101,157,5798,833.351
20140101,157,6247,1062.61
20140101,157,6806,780.246
20140101,157,7603,1824.61
20140101,157,11208,1668.45
20140101,157,14662,878.245
20140101,158,342,9955.84
20140101,158,8666,693.987
20140101,158,11993,1746.95
20140101,158,16947,1825.67
20140101,158,17758,2413.81
20140101,159,154,1197.16
20140101,159,1889,1135.51
20140101,159,7239,18988.8
20140101,159,10228,3209
20140101,159,10574,1588.53
20140101,159,13457,796.104
20140101,159,14771,1495.17
20140101,159,16871,1144.89
20140101,160,3310,1421.98
20140101,160,9618,16321.2
20140101,160,10709,1520.22
20140101,163,1465,5428.79
20140101,163,5010,1583.2
20140101,163,6138,1075.91
20140101,163,6796,790.278
20140101,163,8447,4357.22
20140101,163,8593,6410.78
20140101,163,10831,1093.25
20140101,163,11302,1951.36
20140101,163,15102,2668.46
20140101,164,5683,1533.47
20140101,164,7823,1351
20140101,164,11052,1103.97
20140101,164,11230,1791.71
20140101,164,11826,2108.31
20140101,164,15286,933.733
20140121,70,2804,693.489
20140121,70,20623,1846.7
20140121,73,4085,564.186
20140121,73,4967,832.023
20140121,74,3517,882.871
20140121,74,10758,705.523
20140121,74,18597,712.688
20140121,75,20276,1530.41
20140121,76,9047,1101.69
20140121,76,10065,937.636
20140121,76,12729,899.091
20140121,76,15296,1336.27
20140121,76,17739,939.324
20140121,86,2252,4810.16
20140121,86,5846,1379.07
20140121,86,10429,1407.66
20140121,86,13681,2584.08
20140121,86,15941,1581.88
20140121,87,12094,749.4
20140121,88,7736,508.534
20140121,92,1898,1595.62
20140121,93,10538,425.092
20140121,93,12519,893.391
20140121,93,12787,678.267
20140121,93,13083,1796.41
20140121,93,16964,2104.98
20140121,94,313,1048.71
20140121,94,2456,966.516
20140121,94,2706,1940.73
20140121,94,6310,1249.51
20140121,94,8278,2238.5
20140121,94,8362,1153.46
20140121,94,11123,1455.59
20140121,94,11923,2937.64
20140121,95,337,1867.46
20140121,95,2451,1195.39
20140121,95,2526,4656.44
20140121,95,5037,1566.26
20140121,95,8946,1011.85
20140121,95,14307,3213.96
20140121,96,1920,5553.69
20140121,96,3549,1195.93
20140121,96,7038,1172.65
20140121,96,14563,1070.5
20140121,99,712,2368.61
20140121,99,3077,3462.03
20140121,99,4797,903.481
20140121,99,5043,1994.77
20140121,99,5430,2677.13
20140121,99,5732,6138.69
20140121,99,12554,714.01
20140121,100,74,10558.9
20140121,100,2325,1100.94
20140121,100,6229,809.746
20140121,101,3543,3549.41
20140121,101,3639,1298.95
20140121,101,10303,704.603
20140127,80,6461,955.801
20140127,80,7729,627.014
20140127,80,12165,928.894
20140127,80,20361,692.747
20140127,80,20641,1411.63
20140127,81,12276,2272.02
20140127,81,12412,365.386
20140127,84,5248,887.17
20140127,84,17246,2913.34
20140127,84,19093,2155.49
20140127,85,7069,3124.35
20140127,85,7859,1583.22
20140127,85,9048,641.817
20140127,85,13766,473.95
20140127,86,7161,1362.06
20140127,86,7567,2117.32
20140127,86,13552,1657
20140127,87,1021,2657.23
20140127,87,3510,427.82
20140127,87,20606,1456.15
20140127,90,2139,1491.73
20140127,90,5676,1289.18
20140127,90,8359,3316.11
20140127,90,19812,2111.95
20140127,91,675,969.098
20140127,91,11293,2544.47
20140127,91,12068,3614.98
20140127,91,14224,1484.46
20140127,91,17966,1598.7
20140127,92,12439,8511.18
20140127,92,14510,1269.05
20140127,92,19061,813.754
20140127,93,5439,1574.06
20140127,93,7305,1045.83
20140127,93,18968,780.446
20140205,107,7818,2182.09
20140205,107,10066,1771.53
20140205,107,11372,905.277
20140205,107,12166,597.9
20140205,108,5,1204.6
20140205,108,1978,1037.83
20140205,108,7368,867.789
20140205,108,8856,879.749
20140205,109,747,2057.29
20140205,109,1128,7930.69
20140205,109,5515,1868.49
20140205,109,5790,887.395
20140205,109,9618,1284.59
20140205,109,10377,1153.77
20140205,112,1278,4073.56
20140205,112,1386,1080.18
20140205,112,2335,1133.12
20140205,112,3765,3037.18
20140205,112,5567,3276.57
20140205,112,12364,1484.4
20140318,34,3073,5599.64
20140318,34,4429,938.797
20140318,34,5863,1508.05
20140318,34,11116,2668.94
20140319,39,3376,1236.92
20140319,39,3548,2554.81
20140319,39,7098,2734.37
20140319,39,7728,1178.73
20140319,39,9456,1205.86
20140319,39,13436,5832.32
20140319,49,999,1452.25
20140319,49,6114,1960.13
20140319,49,8859,12115.6
20140926,205,1937,800.657
20140926,205,2886,1683.12
20140926,205,7700,663.981
20140926,206,809,782.685
20140926,206,3770,792.872
20140926,206,6612,679.036
20140926,206,8060,688.646
20140926,206,9721,705.196
20140926,206,10443,2011.97
20140926,206,11721,434.529
20140926,206,14971,400.868
20140926,207,748,6190.97
20140926,207,7853,895.94
20140926,207,8998,638.89
20140926,207,11470,696.812
20140926,207,14383,877.28
20140926,207,16647,2637.15
20140926,210,1935,1650.7
20140926,210,5558,833.609
20140926,210,7101,831.542
20140926,210,10257,6531.01
20140926,211,7636,608.271
20141001,254,4756,1496.58
20141001,254,5452,6754.46
20141001,254,13873,937.047
20141001,254,15491,6100.75
20141001,254,18099,1267.46
20141001,254,18917,1687.64
20141001,255,2200,7220.17
20141001,255,8903,1150.57
20141001,258,10751,2534.04
20141001,258,14465,1063.54
20141001,258,17298,1006.22
20141001,259,5503,1667.42
20141001,259,5656,917.518
20141001,259,8169,866.943
20141001,259,9251,1332.37
20141001,259,9756,3517.12
20141001,259,11726,2144.53
20141001,259,14689,988.446
20141001,260,1254,965.315
20141001,260,1327,1961.03
20141001,260,2983,1232.07
20141001,260,4053,1789.52
20141001,260,4347,2679.09
20141001,260,6298,1499.6
20141001,260,6549,1378.03
20141001,260,9314,2475.6
20141001,261,8464,1128.25
20141001,261,10934,1164.38
20141001,261,12366,1228.03
20141001,261,12628,805.774
20141001,261,12674,1054.78
20141001,261,13756,7589.13
20141001,261,17030,784.404
20141001,264,995,2343.43
20141001,264,18131,735.434
20141001,265,3595,968.457
20141001,265,18560,3341.28
20141001,266,2652,1117.23
20141001,266,8654,633.49
20141001,266,8939,596.989
20141001,266,9034,6665.28
20141001,266,12105,1774.51
20141001,266,20296,1401.15
20141001,267,2385,1732.26
20141001,267,7098,888.102
20141001,277,4036,686.383
20141001,277,5520,2682.04
20141001,277,6869,1607.58
20141001,277,7675,881.93
20141001,277,13375,1695.13
20141001,278,2192,1103.69
20141001,278,13867,1827.92
20141001,279,9838,2348.92
20141001,279,11408,1527.33
20141001,280,7829,737.585
20141001,280,8586,896.799
20141001,280,16364,7207.81
20141001,280,19472,5219.84
20141001,283,1800,694.165
20141001,283,3477,683.425
20141001,283,5371,853.607
20141001,283,5879,836.336
20141001,283,13105,503.022
20141001,283,15654,978.763
20141001,283,16453,983.617
20141001,284,167,1091.98
20141001,284,9040,1208.2
20141001,284,11220,660.444
20141001,284,14956,1885.3
20141001,284,15062,2392.36
20141001,284,15834,799.07
